Quantity,Size,Value,Location
1,0402,1k,R1
1,0402,3.9k,R2
1,0402,3k,R3
1,0402,382k,R4
1,0402,220k,R5
1,0402,100k,R6
1,2.54mm Right Angle Male Header 6-pin,,H1
